PLZ4;Distanz v. Olten
1000;169.789
1000;169.789
1000;169.789
1003;169.789
1004;169.789
1005;169.789
1006;169.789
1007;169.789
1008;169.675
1008;168.122
1008;167.758
1009;165.335
1010;169.789
1011;169.789
1012;169.789
1015;168.259
1015;168.751
1015;170.748
1018;169.789
1020;168.122
1022;168.259
1023;165.494
1023;169.789
1024;168.751
1025;170.748
1026;168.573
1026;167.508
1027;170.027
1028;170.95
1029;164.581
1030;165.818
1031;162.811
1031;164.077
1032;169.789
1032;167.495
1033;164.907
1033;165.494
1033;169.789
1034;160.863
1035;160.372
1036;160.742
1037;165.13
1038;150.055
1038;141.206
1038;138.385
1040;151.76
1040;149.965
1040;149.965
1040;159.029
1041;153.872
1041;146.407
1041;153.872
1041;153.872
1041;157.462
1041;155.848
1042;156.485
1042;157.722
1042;156.285
1043;153.872
1044;152.463
1045;138.43
1045;149.253
1046;148.476
1047;148.476
1047;147.19
1052;169.789
1052;170.015
1053;156.175
1053;168.595
1053;169.789
1053;156.175
1054;166.559
1055;165.252
1058;146.407
1059;142.537
1059;146.407
1061;146.407
1062;146.407
1063;138.385
1063;138.385
1063;141.206
1063;138.385
1063;146.407
1066;167.69
1066;169.789
1068;165.335
1070;156.735
1070;160.59
1070;151.735
1071;155.509
1071;155.971
1071;158.072
1071;151.735
1071;156.735
1071;155.971
1071;158.072
1071;151.735
1072;162.194
1073;166.971
1073;162.194
1073;166.971
1076;999.999
1077;148.809
1078;144.909
1080;162.194
1080;148.809
1081;148.188
1082;147.766
1083;999.999
1084;143.4
1084;999.999
1085;147.614
1085;143.4
1088;144.881
1090;163.714
1090;166.971
1091;162.194
1091;160.59
1091;166.971
1091;160.59
1091;160.59
1092;164.829
1092;163.714
1093;163.714
1094;163.536
1095;163.714
1095;160.59
1096;156.735
1096;160.59
1096;160.59
1097;160.59
1098;156.735
1098;160.59
1110;172.228
1112;172.968
1113;172.968
1114;172.968
1115;168.608
1116;170.948
1117;168.693
1121;170.262
1122;167.702
1123;165.644
1124;165.338
1125;172.968
1126;176.017
1127;173.183
1128;174.207
