PLZ4;Distanz v. Olten;GDENR;PLZNAMK;GDENAMK
1000;169.789;5586;Lausanne 25;Lausanne
1000;169.789;5586;Lausanne 26;Lausanne
1000;169.789;5586;Lausanne 27;Lausanne
1003;169.789;5586;Lausanne;Lausanne
1004;169.789;5586;Lausanne;Lausanne
1005;169.789;5586;Lausanne;Lausanne
1006;169.789;5586;Lausanne;Lausanne
1007;169.789;5586;Lausanne;Lausanne
1008;169.675;5589;Prilly;Prilly
1008;168.122;5591;Prilly;Renens (VD)
1008;167.758;5585;Jouxtens-Mézery;Jouxtens-Mézery
1009;165.335;5590;Pully;Pully
1010;169.789;5586;Lausanne;Lausanne
1011;169.789;5586;Lausanne;Lausanne
1012;169.789;5586;Lausanne;Lausanne
1015;168.259;5627;Lausanne;Chavannes-près-Renens
1015;168.751;5635;Lausanne;Ecublens (VD)
1015;170.748;5648;Lausanne;Saint-Sulpice (VD)
1018;169.789;5586;Lausanne;Lausanne
1020;168.122;5591;Renens VD;Renens (VD)
1022;168.259;5627;Chavannes-Renens;Chavannes-près-Renens
1023;165.494;5583;Crissier;Crissier
1023;169.789;5586;Crissier;Lausanne
1024;168.751;5635;Ecublens VD;Ecublens (VD)
1025;170.748;5648;St-Sulpice VD;Saint-Sulpice (VD)
1026;168.573;5632;Denges;Denges
1026;167.508;5633;Echandens;Echandens
1027;170.027;5638;Lonay;Lonay
1028;170.95;5643;Préverenges;Préverenges
1029;164.581;5651;Villars-Ste-Croix;Villars-Sainte-Croix
1030;165.818;5624;Bussigny;Bussigny
1031;162.811;5489;Mex VD;Mex (VD)
1031;164.077;5503;Mex VD;Vufflens-la-Ville
1032;169.789;5586;Romanel-s-Lausanne;Lausanne
1032;167.495;5592;Romanel-s-Lausanne;Romanel-sur-Lausanne
1033;164.907;5582;Cheseaux-Lausanne;Cheseaux-sur-Lausanne
1033;165.494;5583;Cheseaux-Lausanne;Crissier
1033;169.789;5586;Cheseaux-Lausanne;Lausanne
1034;160.863;5473;Boussens;Boussens
1035;160.372;5472;Bournens;Bournens
1036;160.742;5501;Sullens;Sullens
1037;165.13;5521;Etagnières;Etagnières
1038;150.055;5512;Bercher;Bercher
1038;141.206;5661;Bercher;Boulens
1038;138.385;5693;Bercher;Montanaire
1040;151.76;5518;Echallens;Echallens
1040;149.965;5537;Echallens;Villars-le-Terroir
1040;149.965;5537;Villars-le-Terroir;Villars-le-Terroir
1040;159.029;5535;St-Barthélemy VD;Saint-Barthélemy (VD)
1041;153.872;5540;Dommartin;Montilliez
1041;146.407;5804;Montaubion-Chardon;Jorat-Menthue
1041;153.872;5540;Naz;Montilliez
1041;153.872;5540;Poliez-le-Grand;Montilliez
1041;157.462;5533;Poliez-Pittet;Poliez-Pittet
1041;155.848;5514;Bottens;Bottens
1042;156.485;5511;Assens;Assens
1042;157.722;5513;Bioley-Orjulaz;Bioley-Orjulaz
1042;156.285;5471;Bettens;Bettens
1043;153.872;5540;Sugnens;Montilliez
1044;152.463;5522;Fey;Fey
1045;138.43;5680;Ogens;Ogens
1045;149.253;5903;Ogens;Bioley-Magnoux
1046;148.476;5534;Rueyres;Rueyres
1047;148.476;5534;Oppens;Rueyres
1047;147.19;5923;Oppens;Oppens
1052;169.789;5586;Mont-sur-Lausanne;Lausanne
1052;170.015;5587;Mont-sur-Lausanne;Le Mont-sur-Lausanne
1053;156.175;5515;Cugy VD;Bretigny-sur-Morrens
1053;168.595;5516;Cugy VD;Cugy (VD)
1053;169.789;5586;Cugy VD;Lausanne
1053;156.175;5515;Bretigny-Morrens;Bretigny-sur-Morrens
1054;166.559;5527;Morrens VD;Morrens (VD)
1055;165.252;5523;Froideville;Froideville
1058;146.407;5804;Villars-Tiercelin;Jorat-Menthue
1059;142.537;5673;Peney-le-Jorat;Hermenches
1059;146.407;5804;Peney-le-Jorat;Jorat-Menthue
1061;146.407;5804;Villars-Mendraz;Jorat-Menthue
1062;146.407;5804;Sottens;Jorat-Menthue
1063;138.385;5693;Chapelle-s-Moudon;Montanaire
1063;138.385;5693;Martherenges;Montanaire
1063;141.206;5661;Boulens;Boulens
1063;138.385;5693;Peyres-Possens;Montanaire
1063;146.407;5804;Peyres-Possens;Jorat-Menthue
1066;167.69;5584;Epalinges;Epalinges
1066;169.789;5586;Epalinges;Lausanne
1068;165.335;5590;Les Monts-de-Pully;Pully
1070;156.735;5607;Puidoux;Puidoux
1070;160.59;5613;Puidoux;Bourg-en-Lavaux
1070;151.735;5882;Puidoux;Chardonne
1071;155.509;5601;Chexbres;Chexbres
1071;155.971;5609;Chexbres;Rivaz
1071;158.072;5610;Chexbres;Saint-Saphorin (Lavaux)
1071;151.735;5882;Chexbres;Chardonne
1071;156.735;5607;Rivaz;Puidoux
1071;155.971;5609;Rivaz;Rivaz
1071;158.072;5610;St-Saphorin-Lavaux;Saint-Saphorin (Lavaux)
1071;151.735;5882;St-Saphorin-Lavaux;Chardonne
1072;162.194;5604;Forel (Lavaux);Forel (Lavaux)
1073;166.971;5611;Savigny;Savigny
1073;162.194;5604;Mollie-Margot;Forel (Lavaux)
1073;166.971;5611;Mollie-Margot;Savigny
1076;#NV;5806;Ferlens VD;Jorat-Mézières
1077;148.809;5799;Servion;Servion
1078;144.909;5788;Essertes;Essertes
1080;162.194;5604;Les Cullayes;Forel (Lavaux)
1080;148.809;5799;Les Cullayes;Servion
1081;148.188;5792;Montpreveyres;Montpreveyres
1082;147.766;5785;Corcelles-le-Jorat;Corcelles-le-Jorat
1083;#NV;5806;Mézières VD;Jorat-Mézières
1084;143.4;5803;Carrouge VD;Vulliens
1084;#NV;5806;Carrouge VD;Jorat-Mézières
1085;147.614;2072;Vulliens;Ecublens (FR)
1085;143.4;5803;Vulliens;Vulliens
1088;144.881;5798;Ropraz;Ropraz
1090;163.714;5606;La Croix (Lutry);Lutry
1090;166.971;5611;La Croix (Lutry);Savigny
1091;162.194;5604;Grandvaux;Forel (Lavaux)
1091;160.59;5613;Grandvaux;Bourg-en-Lavaux
1091;166.971;5611;Aran;Savigny
1091;160.59;5613;Aran;Bourg-en-Lavaux
1091;160.59;5613;Chenaux;Bourg-en-Lavaux
1092;164.829;5581;Belmont-Lausanne;Belmont-sur-Lausanne
1092;163.714;5606;Belmont-Lausanne;Lutry
1093;163.714;5606;La Conversion;Lutry
1094;163.536;5588;Paudex;Paudex
1095;163.714;5606;Lutry;Lutry
1095;160.59;5613;Lutry;Bourg-en-Lavaux
1096;156.735;5607;Cully;Puidoux
1096;160.59;5613;Cully;Bourg-en-Lavaux
